song_id	canonical_song_title	alternate_titles	composer	lyricist	country	language	source_id	confidence	review_status	created_at	updated_at
SONG004593	Ocho Dias					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004594	Triste Diciembre					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004595	Boquita De Caramelo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004596	Me Voy Pa Macondo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004597	Tabaco Y Ron					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004598	Asi Empezaron Papa Y Mama					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004599	La Conoci Un Domingo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004600	El Papelito Blanco					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004601	Olvidemos El Pasado					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004602	Cariñito					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004603	Fiesta En Mi Pueblo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004604	Ojitos Hechiceros					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004605	Quiero Que Me Des Tu Amor					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004606	Los Cien Años De Macondo					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004607	Vagabundo Soy					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004608	La Colegiala					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004609	Por Favor Olvidame					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004610	Botellita De Ron					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004611	Adonay					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004612	El Preso					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004613	Daniela					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004614	Los Domingos					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004615	Chan Con Chan					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004616	La Misma Vaina					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004617	Cantares De Navidad					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004618	Muchachita Celosa					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004619	Entre Que Si Y Que No					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
SONG004620	Agua De Cu					Spanish	SRC0002	medium	approved	2026-06-19	2026-06-19
