release_title	primary_artist	recording_title
Así Se Compone Un Son	Ismael Miranda	Así Se Compone Un Son
Así Se Compone Un Son	Ismael Miranda	Nicolás
Así Se Compone Un Son	Ismael Miranda	Sálvame
Así Se Compone Un Son	Ismael Miranda	Ahora Sí
Así Se Compone Un Son	Ismael Miranda	Me Voy Pa' Colombia
Así Se Compone Un Son	Ismael Miranda	Cuídate Bien
Así Se Compone Un Son	Ismael Miranda	Mulence
Así Se Compone Un Son	Ismael Miranda	Las Cuarentas
Así Se Compone Un Son	Ismael Miranda	Sonerito
Así Se Compone Un Son	Ismael Miranda	Ahora Que Estoy Sabroso
Este Es Ismael Miranda	Ismael Miranda	La Cosa No Es Como Antes
Este Es Ismael Miranda	Ismael Miranda	Puerto Abandonado
Este Es Ismael Miranda	Ismael Miranda	Yo no Me Quejo
Este Es Ismael Miranda	Ismael Miranda	Cipriano Armenteros
Este Es Ismael Miranda	Ismael Miranda	Madre
Este Es Ismael Miranda	Ismael Miranda	María Luisa
Este Es Ismael Miranda	Ismael Miranda	En Mi Viejo San Juan
